date,close_wheat,high_wheat,low_wheat,open_wheat,volume_wheat
2011-09-19,122.8499984741211,122.8499984741211,122.8499984741211,122.8499984741211,20
2011-09-20,124.3499984741211,124.3499984741211,122.8499984741211,123.4000015258789,200
2011-09-21,121.1500015258789,123.4000015258789,121.1500015258789,122.05000305175781,60
2011-09-22,115.0,118.55000305175781,115.0,118.55000305175781,200
2011-09-23,117.80000305175781,117.80000305175781,116.4000015258789,116.5999984741211,60
2011-09-26,117.94999694824219,117.94999694824219,115.5,115.69999694824219,480
2011-09-27,119.0,119.75,118.0,119.5999984741211,580
2011-09-28,116.1500015258789,118.0,115.0999984741211,118.0,720
2011-09-29,116.80000305175781,117.44999694824219,116.80000305175781,117.30000305175781,480
2011-09-30,113.5,120.4000015258789,113.5,119.0999984741211,220
2011-10-03,114.0,114.94999694824219,112.0,112.94999694824219,220
2011-10-04,114.25,114.25,114.25,114.25,120
2011-10-05,115.44999694824219,115.44999694824219,114.05000305175781,114.05000305175781,280
2011-10-06,114.3499984741211,117.05000305175781,114.3499984741211,116.9000015258789,440
2011-10-07,113.80000305175781,113.80000305175781,113.80000305175781,113.80000305175781,20
2011-10-10,114.05000305175781,114.05000305175781,114.05000305175781,114.05000305175781,40
2011-10-11,114.25,114.25,114.25,114.25,200
2011-10-12,116.94999694824219,117.6500015258789,114.94999694824219,117.6500015258789,120
2011-10-13,113.69999694824219,113.69999694824219,113.69999694824219,113.69999694824219,100
2011-10-14,112.6500015258789,113.69999694824219,112.6500015258789,113.44999694824219,180
2011-10-17,114.5,114.8499984741211,114.5,114.5,260
2011-10-18,114.4000015258789,114.55000305175781,113.94999694824219,113.94999694824219,400
2011-10-19,112.69999694824219,114.0,112.6500015258789,114.0,260
2011-10-20,113.44999694824219,114.75,113.44999694824219,114.75,80
2011-10-21,114.8499984741211,115.6500015258789,114.8499984741211,115.6500015258789,60
2011-10-24,116.4000015258789,116.4000015258789,116.30000305175781,116.30000305175781,60
2011-10-25,116.6500015258789,117.05000305175781,116.6500015258789,117.05000305175781,60
2011-10-26,113.8499984741211,116.55000305175781,113.8499984741211,116.55000305175781,100
2011-10-27,118.0999984741211,118.0999984741211,114.75,115.8499984741211,80
2011-10-28,120.1500015258789,120.1500015258789,117.0999984741211,117.9000015258789,100
2011-10-31,116.8499984741211,116.8499984741211,116.8499984741211,116.8499984741211,20
2011-11-01,115.5,115.5,114.4000015258789,114.94999694824219,80
2011-11-02,114.3499984741211,116.69999694824219,114.3499984741211,116.69999694824219,220
2011-11-03,115.8499984741211,117.4000015258789,115.30000305175781,115.5999984741211,1080
2011-11-04,114.30000305175781,115.0,114.30000305175781,115.0,580
2011-11-07,115.5999984741211,115.5999984741211,115.4000015258789,115.4000015258789,80
2011-11-08,119.5,119.75,116.05000305175781,116.05000305175781,720
2011-11-09,115.30000305175781,116.69999694824219,115.30000305175781,116.69999694824219,140
2011-11-10,113.5,113.5,112.3499984741211,112.3499984741211,600
2011-11-11,111.80000305175781,112.8499984741211,111.5999984741211,112.8499984741211,320
2011-11-14,111.75,111.8499984741211,110.5999984741211,111.8499984741211,280
2011-11-15,111.75,111.75,111.75,111.75,0
2011-11-16,110.5,114.4000015258789,110.5,111.0999984741211,140
2011-11-17,106.05000305175781,112.69999694824219,106.05000305175781,111.9000015258789,920
2011-11-18,105.44999694824219,106.1500015258789,105.0,106.0,300
2011-11-21,105.25,105.25,104.4000015258789,104.94999694824219,220
2011-11-22,106.0,107.25,103.75,104.75,1920
2011-11-23,104.94999694824219,104.94999694824219,102.1500015258789,104.1500015258789,1240
2011-11-25,102.6500015258789,103.5,102.6500015258789,103.5,340
2011-11-28,103.0,103.5999984741211,103.0,103.5999984741211,300
2011-11-29,106.4000015258789,106.4000015258789,103.30000305175781,103.30000305175781,180
2011-11-30,107.55000305175781,108.25,106.0,108.19999694824219,400
2011-12-01,107.44999694824219,107.44999694824219,105.25,105.4000015258789,220
2011-12-02,106.75,108.5,106.5,107.8499984741211,160
2011-12-05,106.8499984741211,107.5,105.25,107.5,180
2011-12-06,105.30000305175781,105.80000305175781,103.4000015258789,103.4000015258789,700
2011-12-07,103.75,105.0999984741211,103.75,105.0999984741211,640
2011-12-08,104.4000015258789,104.75,102.9000015258789,104.75,200
2011-12-09,103.3499984741211,103.3499984741211,102.25,102.55000305175781,540
2011-12-12,101.75,103.25,101.75,102.55000305175781,460
2011-12-13,103.69999694824219,104.5,103.69999694824219,104.5,100
2011-12-14,101.94999694824219,102.30000305175781,101.0,101.94999694824219,260
2011-12-15,101.0999984741211,101.1500015258789,100.75,100.75,520
2011-12-16,101.80000305175781,102.8499984741211,101.44999694824219,101.80000305175781,180
2011-12-19,103.94999694824219,103.94999694824219,103.94999694824219,103.94999694824219,40
2011-12-20,106.05000305175781,106.05000305175781,104.0,104.5999984741211,280
